first name,last name,nickname,link,height(ft),weight(lb),reach(inch),stance,wins,losses,draws,belt,SLpM,Str. Acc,SApM,Str. Def,TD Avg,TD Acc.,TD Def,Sub. Avg
Tiago,dos Santos e Silva,Trator,http://ufcstats.com/fighter-details/8ce87f7e3a9baed2,"5' 9""",145 lbs.,"70.0""",Orthodox,20,7,2,0,3.69,35%,4.23,59%,0.63,11%,33%,0.3
Oleksandr,Doskalchuk,,http://ufcstats.com/fighter-details/86cb6f5b1ca98dc0,"5' 6""",125 lbs.,--,Southpaw,10,2,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0
David,Douglas,Tarzan,http://ufcstats.com/fighter-details/7cf0944b88966118,"5' 11""",155 lbs.,--,,9,7,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Damion,Douglas,,http://ufcstats.com/fighter-details/ce3b669e39418414,--,170 lbs.,--,,4,1,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0
John,Dowdy,,http://ufcstats.com/fighter-details/e780ccc79a209985,--,--,--,,0,1,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Jordan,Dowdy,,http://ufcstats.com/fighter-details/0d9312337fdce39a,--,170 lbs.,--,,4,3,0,0,2.11,44%,2.63,50%,0.00,0%,0%,0.0
Danny,Downes,,http://ufcstats.com/fighter-details/a66395395b5f1394,"6' 0""",155 lbs.,"72.0""",Orthodox,8,3,0,0,1.66,34%,3.53,37%,0.00,0%,37%,0.5
Derek,Downey,,http://ufcstats.com/fighter-details/b05086131c6f5dc5,"6' 1""",185 lbs.,--,Orthodox,11,4,0,0,0.32,100%,3.36,12%,2.40,16%,0%,0.0
John,Doyle,The Iron Bull,http://ufcstats.com/fighter-details/0509b954421bb327,"5' 11""",205 lbs.,--,Orthodox,11,22,0,0,3.50,44%,10.51,27%,0.00,0%,0%,0.0
Edson,Drago,,http://ufcstats.com/fighter-details/f9c7fe2682af3802,"6' 4""",220 lbs.,--,Orthodox,11,7,0,0,1.16,40%,2.39,36%,0.00,0%,55%,0.0
Kyle,Driscoll,KD,http://ufcstats.com/fighter-details/e5e148d4363deff8,"5' 11""",145 lbs.,"74.0""",Orthodox,12,3,0,0,2.73,32%,2.60,58%,2.00,18%,0%,0.0
Chris,Drumm,,http://ufcstats.com/fighter-details/5fd834edd92c9e50,"5' 8""",145 lbs.,--,,0,1,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Tomasz,Drwal,Gorilla,http://ufcstats.com/fighter-details/679a9054e2815943,"6' 1""",205 lbs.,"76.0""",Orthodox,21,5,1,0,3.29,38%,2.26,57%,3.55,60%,82%,0.4
Robert,Drysdale,,http://ufcstats.com/fighter-details/d2a9be6bf2de624c,"6' 3""",205 lbs.,--,Orthodox,7,0,0,0,0.00,0%,0.00,0%,7.32,100%,0%,21.9
Dricus,Du Plessis,Stillknocks,http://ufcstats.com/fighter-details/0d7b51c9d2649a6e,"6' 1""",185 lbs.,"76.0""",Switch,15,2,0,0,7.72,44%,4.16,67%,0.00,0%,0%,0.0
Hugo,Duarte,,http://ufcstats.com/fighter-details/706404da0775dcbc,"6' 0""",240 lbs.,--,Orthodox,6,3,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Antonio,Duarte,Tigre,http://ufcstats.com/fighter-details/29b5d32584e02d8d,"5' 7""",135 lbs.,--,,19,7,0,0,4.55,40%,4.18,57%,0.00,0%,60%,0.0
Joe,Duarte,,http://ufcstats.com/fighter-details/454c3e9d4cd4a1b3,--,155 lbs.,--,,10,4,0,0,2.27,38%,4.00,53%,3.00,50%,69%,1.0
Milana,Dudieva,,http://ufcstats.com/fighter-details/072a10e85f7d4bff,"5' 3""",135 lbs.,--,Orthodox,11,6,0,0,0.87,31%,3.43,58%,2.34,45%,0%,0.0
Adin,Duenas,,http://ufcstats.com/fighter-details/cb6c45b26b0a877a,"5' 6""",145 lbs.,--,,6,1,0,0,0.00,0%,0.00,0%,0.00,0%,0%,0.0
