fight date,fight weightclass,win method,rounds,time,Winner,KD W,TD succeeded W,TD attempted W,TD % W,sub attempts W,pass W,str landed W,str total W,sig str landed W,sig str total W,sig str % W,dist str landed W,dist str total W,clinch str landed W,clinch str total W,ground str landed W,ground str total W,Loser,KD L,TD succeeded L,TD attempted L,TD % L,sub attempts L,pass L,str landed L,str total L,sig str landed L,sig str total L,sig str % L,dist str landed L,dist str total L,clinch str landed L,clinch str total L,ground str landed L,ground str total L
"November 07, 2020",Bantamweight,SUB,1,2:43,Gustavo Lopez,0,2 , 3,66,2,1,33 , 50,26 , 43,60,15 , 27,5 , 7,6 , 9,Anthony Birchak,0,0 , 0,--,0,0,18 , 41,17 , 40,42,12 , 33,3 , 5,2 , 2
"October 31, 2020",Middleweight,KO/TKO,4,1:24,Uriah Hall,2,0 , 0,--,0,0,61 , 112,60 , 111,54,45 , 87,0 , 0,15 , 24,Anderson Silva,0,0 , 0,--,0,0,57 , 114,53 , 110,48,51 , 107,2 , 3,0 , 0
"October 31, 2020",Featherweight,U-DEC,3,5:00,Bryce Mitchell,0,7 , 13,53,7,1,100 , 135,46 , 69,66,29 , 42,0 , 0,17 , 27,Andre Fili,0,0 , 0,--,0,0,51 , 97,27 , 72,37,23 , 67,0 , 0,4 , 5
"October 31, 2020",Heavyweight,KO/TKO,2,1:12,Greg Hardy,0,0 , 0,--,1,0,17 , 37,17 , 37,45,16 , 36,0 , 0,1 , 1,Maurice Greene,1,1 , 1,100,0,0,56 , 85,46 , 74,62,19 , 36,0 , 0,27 , 38
"October 31, 2020",Middleweight,SUB,1,2:39,Kevin Holland,0,2 , 2,100,2,0,33 , 34,11 , 12,91,2 , 3,0 , 0,9 , 9,Charlie Ontiveros,0,0 , 0,--,0,0,2 , 2,2 , 2,100,2 , 2,0 , 0,0 , 0
"October 31, 2020",Lightweight,U-DEC,3,5:00,Thiago Moises,0,2 , 3,66,2,1,94 , 187,85 , 177,48,82 , 170,3 , 4,0 , 3,Bobby Green,0,2 , 3,66,2,0,43 , 120,42 , 119,35,42 , 119,0 , 0,0 , 0
"October 31, 2020",Lightweight,KO/TKO,1,1:46,Alexander Hernandez,0,0 , 0,--,0,0,8 , 27,8 , 27,29,8 , 26,0 , 1,0 , 0,Chris Gruetzemacher,1,0 , 0,--,0,0,29 , 52,29 , 52,55,28 , 51,1 , 1,0 , 0
"October 31, 2020",Bantamweight,KO/TKO,1,2:46,Adrian Yanez,1,0 , 0,--,0,0,18 , 35,17 , 34,50,16 , 33,1 , 1,0 , 0,Victor Rodriguez,0,0 , 3,0,0,0,9 , 16,6 , 13,46,6 , 12,0 , 1,0 , 0
"October 31, 2020",Middleweight,U-DEC,3,5:00,Sean Strickland,0,0 , 0,--,0,0,106 , 227,106 , 227,46,106 , 227,0 , 0,0 , 0,Jack Marshman,0,0 , 0,--,0,0,48 , 252,48 , 252,19,48 , 252,0 , 0,0 , 0
"October 31, 2020",Welterweight,SUB,2,2:09,Jason Witt,0,0 , 0,--,2,1,23 , 27,1 , 5,20,1 , 5,0 , 0,0 , 0,Cole Williams,0,2 , 3,66,0,0,50 , 70,20 , 31,64,5 , 9,0 , 0,15 , 22
"October 31, 2020",Light Heavyweight,KO/TKO,1,2:38,Dustin Jacoby,2,0 , 0,--,0,0,22 , 38,22 , 38,57,17 , 29,0 , 1,5 , 8,Justin Ledet,0,0 , 0,--,0,0,10 , 31,10 , 31,32,10 , 30,0 , 1,0 , 0
"October 31, 2020",Bantamweight,KO/TKO,3,2:51,Miles Johns,1,0 , 7,0,0,0,56 , 114,48 , 105,45,46 , 100,2 , 5,0 , 0,Kevin Natividad,0,0 , 1,0,0,0,38 , 142,33 , 137,24,31 , 132,2 , 5,0 , 0
"October 24, 2020",Lightweight,SUB,2,1:34,Khabib Nurmagomedov,0,2 , 3,66,2,1,26 , 80,26 , 80,32,25 , 79,0 , 0,1 , 1,Justin Gaethje,0,0 , 0,--,0,0,29 , 46,29 , 45,64,29 , 45,0 , 0,0 , 0
"October 24, 2020",Middleweight,U-DEC,3,5:00,Robert Whittaker,1,0 , 2,0,0,0,75 , 158,69 , 151,45,62 , 137,1 , 2,6 , 12,Jared Cannonier,0,0 , 0,--,0,0,58 , 94,53 , 89,59,49 , 84,4 , 5,0 , 0
"October 24, 2020",Heavyweight,KO/TKO,2,1:15,Alexander Volkov,0,0 , 0,--,0,0,45 , 73,45 , 73,61,42 , 69,3 , 4,0 , 0,Walt Harris,0,0 , 1,0,0,0,16 , 58,16 , 58,27,16 , 56,0 , 2,0 , 0
"October 24, 2020",Middleweight,KO/TKO,1,0:18,Phillip Hawes,0,0 , 0,--,0,0,0 , 2,0 , 2,0,0 , 2,0 , 0,0 , 0,Jacob Malkoun,1,0 , 0,--,0,0,7 , 11,7 , 11,63,5 , 9,0 , 0,2 , 2
"October 24, 2020",Women's Flyweight,SUB,2,3:31,Lauren Murphy,0,1 , 1,100,1,1,32 , 96,22 , 85,25,12 , 72,8 , 11,2 , 2,Liliya Shakirova,0,0 , 3,0,0,0,27 , 80,23 , 75,30,23 , 75,0 , 0,0 , 0
"October 24, 2020",Light Heavyweight,KO/TKO,1,4:19,Magomed Ankalaev,2,0 , 0,--,0,0,21 , 41,21 , 41,51,14 , 31,1 , 1,6 , 9,Ion Cutelaba,0,0 , 0,--,0,0,11 , 36,11 , 36,30,11 , 36,0 , 0,0 , 0
